device, pi
F0-25-72-7D-6F-62 = -43
F0-25-72-7D-6F-64 = -43
F0-25-72-7D-6F-66 = -41
F0-25-72-7D-71-00 = -63
F0-25-72-7D-71-02 = -63
F0-25-72-7D-71-04 = -63
F0-25-72-7D-71-06 = -65
F0-25-72-7D-71-42 = -65
F0-25-72-7D-71-44 = -65
F0-25-72-7D-71-46 = -55
F0-25-72-7D-89-42 = -79
F0-25-72-7D-8B-32 = -67
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-8B-36 = -67
F0-25-72-7D-EA-42 = -69
F0-25-72-7D-EA-44 = -71
F0-25-72-7D-EB-86 = -75
---------------------
56-5A-04-2F-2C-A1 = -55
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -53
F0-25-72-70-9E-72 = -53
F0-25-72-70-9E-74 = -53
F0-25-72-70-9E-76 = -53
F0-25-72-70-C3-50 = -75
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-6F-64 = -41
F0-25-72-7D-71-00 = -63
F0-25-72-7D-71-02 = -63
F0-25-72-7D-71-04 = -63
F0-25-72-7D-71-06 = -65
F0-25-72-7D-71-42 = -63
F0-25-72-7D-71-44 = -63
F0-25-72-7D-71-46 = -65
F0-25-72-7D-8B-34 = -69
---------------------
56-5A-04-2F-2C-A1 = -61
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -51
F0-25-72-70-9E-72 = -51
F0-25-72-70-9E-74 = -49
F0-25-72-70-9E-76 = -51
F0-25-72-70-A5-66 = -73
F0-25-72-70-C3-50 = -75
F0-25-72-70-C3-52 = -69
F0-25-72-70-C3-56 = -71
F0-25-72-7D-6F-60 = -43
F0-25-72-7D-6F-64 = -41
F0-25-72-7D-71-00 = -63
F0-25-72-7D-71-02 = -67
F0-25-72-7D-71-04 = -65
F0-25-72-7D-71-06 = -67
F0-25-72-7D-71-44 = -63
F0-25-72-7D-71-46 = -65
F0-25-72-7D-8B-30 = -65
F0-25-72-7D-8B-34 = -63
F0-25-72-7D-EA-42 = -73
F0-25-72-7D-EA-44 = -71
---------------------
56-5A-04-2F-2C-A1 = -61
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -51
F0-25-72-70-9E-72 = -51
F0-25-72-70-9E-74 = -51
F0-25-72-70-9E-76 = -51
F0-25-72-70-A5-66 = -73
F0-25-72-70-C3-52 = -71
F0-25-72-70-C3-54 = -69
F0-25-72-70-C3-56 = -71
F0-25-72-7D-56-B2 = -73
F0-25-72-7D-6F-60 = -43
F0-25-72-7D-6F-62 = -43
F0-25-72-7D-6F-64 = -43
F0-25-72-7D-6F-66 = -43
F0-25-72-7D-71-00 = -67
F0-25-72-7D-71-02 = -67
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -67
F0-25-72-7D-71-42 = -61
F0-25-72-7D-8B-34 = -65
F0-25-72-7D-EA-42 = -73
---------------------
56-5A-04-2F-2C-A1 = -61
6C-B0-CE-ED-2B-BB = -71
F0-25-72-70-9E-70 = -55
F0-25-72-70-9E-72 = -55
F0-25-72-70-9E-74 = -51
F0-25-72-70-9E-76 = -55
F0-25-72-70-C3-50 = -71
F0-25-72-70-C3-52 = -71
F0-25-72-70-C3-54 = -71
F0-25-72-70-C3-56 = -69
F0-25-72-7D-56-B2 = -73
F0-25-72-7D-6F-60 = -43
F0-25-72-7D-6F-62 = -43
