start,-12,44
f0:25:72:70:4b:54,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.56140137,0.15812683

--------------------
90:84:0d:da:8d:d7,R57Station,-81,41,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:5d,eduroam,-68,70,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:54,Purdue Guest Network,-66,74,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:5f,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:5b,Purdue Guest Network,-68,70,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:59,attwifi,-68,70,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:cb,Purdue Guest Network,-78,48,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:cd,eduroam,-78,48,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:c9,attwifi,-79,46,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:bd,eduroam,-79,46,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:bf,PAL3.0,-83,37,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:bb,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:b9,attwifi,-83,37,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:cf,PAL3.0,-78,48,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:c4,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:b4,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:44,Purdue Guest Network,-61,85,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:4b,Purdue Guest Network,-57,94,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:49,attwifi,-57,94,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:4d,eduroam,-57,94,  TILE 0, ACC (xy) -0.8970337,0.036727905
00:18:f8:c9:99:96,helps,-88,26,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:4f,PAL3.0,-58,92,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:75:2f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:70:ab,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:75:2b,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:70:ad,eduroam,-75,55,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:b2,eduroam,-73,59,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:52,eduroam,-67,72,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:40,PAL3.0,-61,85,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:75:29,attwifi,-77,50,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:75:2d,eduroam,-77,50,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:0d:b0,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:fc:50,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:70:a6,attwifi,-76,52,  TILE 0, ACC (xy) -0.8970337,0.036727905
20:aa:4b:04:7c:41,me-cart2,-89,24,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:70:a9,attwifi,-80,44,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:bd:42,eduroam,-60,88,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:70:af,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.8970337,0.036727905
c4:04:15:22:df:c4,NETGEAR94,-88,26,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:75:24,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:12:0b:f4,Purdue Guest Network,-81,41,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:79:0b,Purdue Guest Network,-87,28,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:70:4b:54,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:c2,eduroam,-72,61,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:ab:c6,attwifi,-72,61,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:70:a4,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.8970337,0.036727905
f0:25:72:7d:75:26,attwifi,-81,41,  TILE 0, ACC (xy) -0.8970337,0.036727905

--------------------
90:84:0d:da:8d:d7,R57Station,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:5d,eduroam,-66,74,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:54,Purdue Guest Network,-67,72,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:5f,PAL3.0,-65,77,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:5b,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:59,attwifi,-66,74,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:cb,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:cd,eduroam,-75,55,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:c9,attwifi,-75,55,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:bd,eduroam,-80,44,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:bf,PAL3.0,-80,44,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:bb,Purdue Guest Network,-81,41,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:b9,attwifi,-80,44,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:cf,PAL3.0,-75,55,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:c4,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:b4,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:44,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:4b,Purdue Guest Network,-56,96,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:49,attwifi,-56,96,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:4d,eduroam,-56,96,  TILE 0, ACC (xy) -0.48284912,-0.1275177
00:18:f8:c9:99:96,helps,-81,41,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:4f,PAL3.0,-55,99,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:2f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:ab,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:2b,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:ad,eduroam,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:b2,eduroam,-73,59,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:52,eduroam,-67,72,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:40,PAL3.0,-61,85,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:29,attwifi,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:2d,eduroam,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:0d:b0,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:fc:50,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:a6,attwifi,-76,52,  TILE 0, ACC (xy) -0.48284912,-0.1275177
20:aa:4b:04:7c:41,me-cart2,-89,24,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:a9,attwifi,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:bd:42,eduroam,-60,88,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:af,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.48284912,-0.1275177
c4:04:15:22:df:c4,NETGEAR94,-86,30,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:24,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:12:0b:f4,Purdue Guest Network,-81,41,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:79:0b,Purdue Guest Network,-87,28,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:70:4b:54,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:c2,eduroam,-74,57,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:c6,attwifi,-72,61,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:a4,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:26,attwifi,-81,41,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:ab:c0,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:75:20,PAL3.0,-78,48,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:7d:70:a0,PAL3.0,-80,44,  TILE 0, ACC (xy) -0.48284912,-0.1275177
f0:25:72:12:0b:f2,eduroam,-81,41,  TILE 0, ACC (xy) -0.48284912,-0.1275177
00:1e:52:7b:04:c9,GHG-NET,-90,22,  TILE 0, ACC (xy) -0.48284912,-0.1275177

--------------------
90:84:0d:da:8d:d7,R57Station,-79,46,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:fc:5d,eduroam,-66,74,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:fc:54,Purdue Guest Network,-66,74,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:fc:5f,PAL3.0,-65,77,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:fc:5b,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:fc:59,attwifi,-66,74,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:cb,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:cd,eduroam,-76,52,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:c9,attwifi,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:bd,eduroam,-76,52,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:bf,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:bb,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:b9,attwifi,-76,52,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:cf,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:c4,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:b4,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:44,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:4b,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:49,attwifi,-59,90,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:4d,eduroam,-59,90,  TILE 0, ACC (xy) -0.30670166,-0.051345825
00:18:f8:c9:99:96,helps,-85,33,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:4f,PAL3.0,-60,88,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:2f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:ab,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:2b,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:ad,eduroam,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:b2,eduroam,-73,59,  TILE 0, ACC (xy) -0.30670166,-0.051345825
