f0:25:72:7d:6f:64,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:6f:66,attwifi,-57,94,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:7b,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:79,attwifi,-71,63,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:4b,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:49,attwifi,-70,66,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:0b,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:8b:39,attwifi,-80,44,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:74,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:76,attwifi,-70,66,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:44,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:c3:54,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:c3:56,attwifi,-82,39,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:6f:60,PAL3.0,-57,94,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:0d,eduroam,-72,61,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:9e:70,PAL3.0,-69,68,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:42,eduroam,-76,52,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:8b:3d,eduroam,-82,39,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:c3:50,PAL3.0,-80,44,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:02,eduroam,-80,44,  TILE 0, ACC (xy) 0.4883423,1.6768036
e4:f4:c6:15:f7:3f,,-85,33,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:09,attwifi,-72,61,  TILE 0, ACC (xy) 0.4883423,1.6768036
