---------------------
========== [FLAGGED] =============
F0-25-72-7D-19-F0 = -61
F0-25-72-7D-19-F2 = -63
F0-25-72-7D-19-F4 = -61
F0-25-72-7D-56-B0 = -63
F0-25-72-7D-56-B2 = -63
F0-25-72-7D-56-B4 = -63
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-6F-60 = -57
F0-25-72-7D-6F-62 = -57
F0-25-72-7D-6F-64 = -57
F0-25-72-7D-6F-66 = -57
F0-25-72-7D-71-00 = -73
F0-25-72-7D-71-02 = -75
F0-25-72-7D-71-04 = -73
F0-25-72-7D-71-06 = -75
F0-25-72-7D-88-70 = -59
F0-25-72-7D-88-72 = -61
F0-25-72-7D-88-74 = -61
F0-25-72-7D-88-76 = -57
F0-25-72-7D-89-42 = -75
F0-25-72-7D-89-46 = -75
F0-25-72-7D-8B-32 = -43
F0-25-72-7D-8B-34 = -43
F0-25-72-7D-8B-36 = -43
F0-25-72-7D-EB-82 = -71
F0-25-72-7D-EB-84 = -71
F0-25-72-7D-EB-86 = -71
---------------------
00-25-9C-52-91-1D = -75
56-5A-04-2F-2C-A1 = -61
6C-B0-CE-ED-2B-BB = -57
B4-18-D1-E0-33-DE = -73
F0-25-72-70-9E-72 = -69
F0-25-72-70-9E-74 = -69
F0-25-72-70-9E-76 = -69
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -73
F0-25-72-7D-19-F0 = -61
F0-25-72-7D-19-F2 = -65
F0-25-72-7D-19-F4 = -67
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-56-B0 = -63
F0-25-72-7D-56-B2 = -65
F0-25-72-7D-56-B4 = -63
F0-25-72-7D-56-B6 = -63
F0-25-72-7D-6F-60 = -59
F0-25-72-7D-6F-62 = -59
F0-25-72-7D-6F-64 = -59
F0-25-72-7D-6F-66 = -61
F0-25-72-7D-71-00 = -73
F0-25-72-7D-71-02 = -75
F0-25-72-7D-71-04 = -73
F0-25-72-7D-71-06 = -75
F0-25-72-7D-88-70 = -55
F0-25-72-7D-88-72 = -55
F0-25-72-7D-88-74 = -57
F0-25-72-7D-88-76 = -57
F0-25-72-7D-89-42 = -75
F0-25-72-7D-8A-C2 = -69
F0-25-72-7D-8B-34 = -45
---------------------
56-5A-04-2F-2C-A1 = -61
6C-B0-CE-ED-2B-BB = -53
B4-18-D1-E0-33-DE = -73
F0-25-72-70-9E-72 = -69
F0-25-72-70-9E-76 = -69
F0-25-72-70-A5-64 = -73
F0-25-72-70-A5-66 = -73
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -63
F0-25-72-70-B6-74 = -65
F0-25-72-7D-19-F0 = -57
F0-25-72-7D-19-F2 = -63
F0-25-72-7D-19-F4 = -63
F0-25-72-7D-19-F6 = -63
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B2 = -65
